Section,Period,Time,Monday,Tuesday,Wednesday,Thursday,Friday
"A, B, C",1ST,0720-0835,LCO332,STAT332,LCO332,STAT332,LCO332
"A, B, C",2ND,0845-1000,,COM332,,COM332,
"A, B, C",3RD,1010-1125,IR332,,IR332,,IR332
"A, B, C",4TH,1250-1405,SD322,,SD322,,SD322
"A, B, C",5TH,1415-1530,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS
"D, E, F",1ST,0720-0835,,COM332,,COM332,
"D, E, F",2ND,0845-1000,IR332,,IR332,,IR332
"D, E, F",3RD,1010-1125,SD322,,SD322,,SD322
"D, E, F",4TH,1250-1405,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS
"D, E, F",5TH,1415-1530,LCO332,STAT332,LCO332,STAT332,LCO332
"G, H, I",1ST,0720-0835,IR332,,IR332,,IR332
"G, H, I",2ND,0845-1000,SD322,,SD322,,SD322
"G, H, I",3RD,1010-1125,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS
"G, H, I",4TH,1250-1405,LCO332,STAT332,LCO332,STAT332,LCO332
"G, H, I",5TH,1415-1530,,COM332,,COM332,
"J, K, L",1ST,0720-0835,SD322,,SD322,,SD322
"J, K, L",2ND,0845-1000,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS
"J, K, L",3RD,1010-1125,LCO332,STAT332,LCO332,STAT332,LCO332
"J, K, L",4TH,1250-1405,,COM332,,COM332,
"J, K, L",5TH,1415-1530,IR332,,IR332,,IR332
"M, N, O",1ST,0720-0835,AS/AFS/NS,WIT332,AS/AFS/NS,WIT332,AS/AFS/NS
"M, N, O",2ND,0845-1000,LCO332,STAT332,LCO332,STAT332,LCO332
"M, N, O",3RD,1010-1125,,COM332,,COM332,
"M, N, O",4TH,1250-1405,IR332,,IR332,,IR332
"M, N, O",5TH,1415-1530,SD322,,SD322,,SD322
